,Start,End,Description,Confidence,sum
222,4.971633,7.9079,escalator,0.8864657282829285,-0.01295
244,7.941266,10.977633,building,0.9341511130332947,0.0031
225,7.941266,10.977633,skyscraper,0.7413403391838074,0.0031
308,7.941266,10.977633,architecture,0.6082988977432251,0.0031
227,19.753066,21.054366,computer monitor,0.6081990599632263,0.0285
175,19.753066,21.054366,display device,0.7442205548286438,0.0285
86,47.380666,53.119733,office,0.6435846090316772,0.0001
105,59.092366,60.4604,highway,0.7782802581787109,-0.0001
309,59.092366,60.4604,road,0.8344551920890808,-0.0001
369,59.092366,60.4604,vehicle,0.9191926121711731,-0.0001
304,59.092366,60.4604,road trip,0.6120002865791321,-0.0001
370,60.493766,63.5635,vehicle,0.9381895065307617,-5e-05
310,60.493766,63.5635,road,0.6927533149719238,-5e-05
327,60.493766,63.5635,car,0.7522658705711365,-5e-05
133,60.493766,63.5635,motor vehicle,0.8570603132247925,-5e-05
247,60.493766,63.5635,driving,0.9559687972068787,-5e-05
87,63.596866,65.9659,winter,0.6443410515785217,-5e-05
183,63.596866,65.9659,mountain range,0.7112838625907898,-5e-05
372,75.442033,77.4774,vehicle,0.8359785676002502,-0.0043
176,77.510766,79.6796,display device,0.7622272968292236,-0.00035
228,77.510766,79.6796,computer monitor,0.6139550805091858,-0.00035
373,79.712966,82.916166,vehicle,0.7923880815505981,0.004
28,85.3853,86.219466,sports,0.6868564486503601,0.0022
241,88.4884,91.825066,evening,0.7928112745285034,5e-05
214,88.4884,91.825066,dusk,0.7726870179176331,5e-05
366,88.4884,91.825066,sun,0.9855614900588989,5e-05
325,88.4884,91.825066,song,0.8308588862419128,5e-05
137,88.4884,91.825066,sunset,0.8219186663627625,5e-05
313,88.4884,91.825066,sky,0.7045197486877441,5e-05
71,88.4884,91.825066,horizon,0.6770091652870178,5e-05
223,88.4884,91.825066,sunlight,0.8962398767471313,5e-05
0,88.4884,91.825066,sea,0.8160243034362793,5e-05
